1622083935103	mozrunner::runner	INFO	Running command: "C:\\Program Files\\Mozilla Firefox\\firefox.exe" "-marionette" "-foreground" "-no-remote" "-profile" "C:\\Users\\ADMINI~1\\AppData\\Local\\Temp\\rust_mozprofile.iiaIaUIFnpjN"
1622083935451	addons.webextension.screenshots@mozilla.org	WARN	Loading extension 'screenshots@mozilla.org': Reading manifest: Invalid host permission: resource://pdf.js/
1622083935451	addons.webextension.screenshots@mozilla.org	WARN	Loading extension 'screenshots@mozilla.org': Reading manifest: Invalid host permission: about:reader*
1622083935554	Marionette	TRACE	Received observer notification profile-after-change
1622083935598	Marionette	TRACE	Received observer notification toplevel-window-ready
1622083935627	Marionette	TRACE	Received observer notification command-line-startup
1622083935627	Marionette	TRACE	Received observer notification nsPref:changed
1622083935627	Marionette	DEBUG	Init aborted (running=false, enabled=true, finalUIStartup=false)
1622083935684	Marionette	TRACE	Received observer notification toplevel-window-ready
1622083936490	Marionette	TRACE	Received observer notification sessionstore-windows-restored
1622083936491	Marionette	TRACE	GFX sanity window detected, waiting until it has been closed...
1622083936680	Marionette	TRACE	Received observer notification domwindowclosed
1622083936681	Marionette	TRACE	Waiting until startup recorder finished recording startup scripts...
1622083936878	Marionette	TRACE	All scripts recorded.
1622083936879	Marionette	DEBUG	Setting recommended pref apz.content_response_timeout to 60000
1622083936879	Marionette	DEBUG	Setting recommended pref browser.contentblocking.introCount to 99
1622083936879	Marionette	DEBUG	Setting recommended pref browser.download.panel.shown to true
1622083936879	Marionette	DEBUG	Setting recommended pref browser.newtabpage.enabled to false
1622083936880	Marionette	DEBUG	Setting recommended pref browser.pagethumbnails.capturing_disabled to true
1622083936880	Marionette	DEBUG	Setting recommended pref browser.search.update to false
1622083936880	Marionette	DEBUG	Setting recommended pref browser.tabs.disableBackgroundZombification to false
1622083936881	Marionette	DEBUG	Setting recommended pref browser.tabs.warnOnCloseOtherTabs to false
1622083936881	Marionette	DEBUG	Setting recommended pref browser.tabs.warnOnOpen to false
1622083936881	Marionette	DEBUG	Setting recommended pref browser.usedOnWindows10.introURL to 
1622083936881	Marionette	DEBUG	Setting recommended pref browser.urlbar.suggest.searches to false
1622083936881	Marionette	DEBUG	Setting recommended pref datareporting.policy.dataSubmissionPolicyAccepted to false
1622083936882	Marionette	DEBUG	Setting recommended pref dom.disable_beforeunload to true
